,brand,age,name,abv,rating,No. rating,nose,taste,finish
615,Black & White,,, 40%,2.3,23,[],['Sweet:100%'],[]
616,Glenlivet,25Y,XXV, 43%,4.6,22,[],['Nuts:100%'],[]
617,Glenmorangie,,Sonnalta PX, 46%,4.5,22,"['Chocolate:100%', 'Sweet:100%']","['Oak:100%', 'Sweet:100%']","['Sweet:100%', 'Sherry:40%']"
618,Aberlour,,a'bunadh Batch 44, 59.7%,4.5,22,"['Sherry:100%', 'Malt:50%']","['Dark Chocolate:100%', 'Herb:100%']","['Herb:100%', 'Sherry:100%']"
619,Bunnahabhain,18Y,, 43%,4.5,22,"['Seaweed:100%', 'Maritime Notes:100%']","['Nuts:100%', 'Sherry:100%']","['Malt:100%', 'Spices:60%']"
620,Mortlach,16Y,, 43%,4.4,22,"['Sherry:100%', 'Peat Smoke:100%']","['Oak:100%', 'Sweet:100%']",['Sherry:100%']
621,Aberlour,,a'bunadh Batch 35, 60.3%,4.3,22,[],['Oak:100%'],[]
622,Caol Ila,,, 43%,4.1,22,"['Spices:100%', 'Medicinal Smoke:90%']","['Malt:100%', 'Sweet:100%']",['Peat Smoke:100%']
623,Ben Nevis,15Y,, 46%,4.0,22,['Sweet:100%'],"['Oak:100%', 'Spices:100%']",['Spices:100%']
624,Talisker,,175th Anniversary, 45.8%,4.0,22,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Spices:100%', 'Sweet:80%']",[]
625,Oban,,, 43%,3.9,22,"['Fruit:100%', 'Maritime Notes:70%']","['Fruit:100%', 'Nuts:70%']","['Sherry:100%', 'Maritime Notes:70%']"
626,Glenmorangie,,A Midwinter Night's Dram, 43%,3.9,22,"['Orange:100%', 'Zitrus:100%']","['Sweet:100%', 'Spices:100%']",['Nuts:100%']
627,Famous Grouse,,Naked Grouse, 40%,3.8,22,['Sherry:100%'],"['Fruit:100%', 'Sweet:80%']",[]
628,Talisker,,57° North, 57%,3.8,22,"['Sweet:100%', 'Peat Smoke:100%']","['Spices:100%', 'Oak:70%']","['Peat Smoke:100%', 'Malt:70%']"
629,Benrinnes,15Y,, 43%,3.8,22,"['Oak:100%', 'Peat Smoke:100%']","['Oak:100%', 'Fruit:80%']","['Peat Smoke:100%', 'Oak:80%']"
630,Glendronach,14Y,Sauternes Finish, 46%,3.7,22,[],"['Nuts:100%', 'Fruit:100%']",[]
631,Cardhu,,Gold Reserve, 40%,3.5,22,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Zitrus:70%']","['Spices:100%', 'Nuts:90%']"
632,Benriach,10Y,, 43%,3.4,22,"['Fruit:100%', 'Sweet:90%']","['Fruit:100%', 'Oak:80%']",['Malt:100%']
633,Mellow Corn,4Y,100 Proof, 50%,3.2,22,['Zitrus:100%'],['Sweet:100%'],[]
634,Bulleit,,, 40%,3.2,22,['Oak:100%'],['Sweet:100%'],['Spices:100%']
635,Glenfarclas,,Heritage, 40%,3.2,22,"['Sherry:100%', 'Fruit:80%']","['Sherry:100%', 'Malt:70%']","['Fruit:100%', 'Sherry:50%']"
636,Teeling,,Rum Cask, 46%,3.2,22,['Sweet:100%'],"['Spices:100%', 'Sweet:80%']",[]
637,Blackstone,15Y,, 40%,3.1,22,"['Herbs:100%', 'Malt:70%']",[],['Spices:100%']
638,Wild Turkey,8Y,, 50.5%,3.1,22,['Sweet:100%'],[],[]
639,Bowmore,,Gold Reef, 43%,3.0,22,"['Fruit:100%', 'Zitrus:70%']","['Salt:100%', 'Maritime Notes:100%']","['Sweet:100%', 'Spices:90%']"
640,Speyburn,10Y,, 40%,3.0,22,"['Sweet:100%', 'Zitrus:70%']",['Sweet:100%'],['Malt:100%']
641,Powers,,Gold label, 40%,2.9,22,['Sweet:100%'],['Sweet:100%'],[]
642,J&B,,Rare, 40%,2.4,22,"['Nuts:100%', 'Fruit:100%']",['Fruit:100%'],[]
643,Lagavulin,,, 43%,4.7,21,[],['Maritime Notes:100%'],[]
644,Arran,17Y,, 46%,4.7,21,[''],[''],['']
645,Octomore,5Y,Comus 04.2, 61%,4.5,21,['Peat Smoke:100%'],['Peat Smoke:100%'],[]
646,Bruichladdich,22Y,The Laddie Twenty Two, 46%,4.4,21,[],['Sweet:100%'],[]
647,Coole Swan,,, 16%,4.2,21,"['Sweet:100%', 'Nuts:60%']","['Oil:100%', 'Chocolate:100%']","['Sweet:100%', 'Malt:70%']"
648,Ledaig,18Y,, 46.3%,4.1,21,"['Maritime Notes:100%', 'Seaweed:100%']","['Herbs:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:60%']"
649,Glenmorangie,,Ealanta, 46%,4.0,21,[''],[''],['']
650,Tormore,16Y,, 48%,4.0,21,['Nuts:100%'],"['Fruit:100%', 'Sweet:100%']",['Malt:100%']
651,Cragganmore,,, 40%,3.9,21,"['Zitrus:100%', 'Sherry:100%']",['Fruit:100%'],['Sherry:100%']
652,Deanston,18Y,, 46.3%,3.9,21,"['Oak:100%', 'Sweet:100%']","['Sweet:100%', 'Honey:80%']","['Oak:100%', 'Spices:100%']"
653,Mackmyra,,Blomstertid, 46.1%,3.9,21,"['Fruit:100%', 'Spices:70%']","['Fruit:100%', 'Oak:70%']","['Fruit:100%', 'Oak:80%']"
654,Bunnahabhain,8Y,Heavily Peated, 43%,3.9,21,['Peat Smoke:100%'],"['Maritime Notes:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
655,Glenfiddich,19Y,Age of Discovery Bourbon, 40%,3.8,21,"['Oak:100%', 'Sweet:100%']","['Spices:100%', 'Oak:40%']","['Oak:100%', 'Spices:70%']"
656,Macallan,12Y,Double Cask, 40%,3.8,21,"['Sweet:100%', 'Zitrus:80%']","['Sweet:100%', 'Oak:60%']",[]
657,Glencadam,12Y,Portwood Finish, 46%,3.7,21,['Fruit:100%'],"['Oak:100%', 'Sweet:100%']",['Spices:100%']
658,Knob Creek,,Rye, 50%,3.7,21,"['Oak:100%', 'Wheat:80%']","['Oak:100%', 'Wheat:90%']","['Spices:100%', 'Malt:70%']"
659,Connemara,12Y,with Wooden Case, 40%,3.5,21,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Nuts:40%']",['Spices:100%']
660,Kavalan,,Concertmaster Port Cask Finish, 40%,3.5,21,['Sweet:100%'],"['Fruit:100%', 'Sweet:90%']",[]
661,Mackmyra,,Svensk Rök, 46.1%,3.3,21,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Maritime Notes:50%']",['Peat Smoke:100%']
662,Tullibardine,,500 Sherry Finish, 43%,3.3,21,"['Oak:100%', 'Sherry:100%']",['Spices:100%'],"['Oak:100%', 'Sweet:100%']"
663,Jameson,12Y,, 40%,3.1,21,[],"['Malt:100%', 'Sweet:100%']",['Sherry:100%']
664,Suntory,,Toki, 43%,3.0,21,"['Fruit:100%', 'Zitrus:50%']","['Fruit:100%', 'Sweet:100%']",['Spices:100%']
665,Laphroaig,,Four Oak, 40%,2.9,21,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Oak:80%']","['Oak:100%', 'Spices:100%']"
666,Jack Daniel's,,Tennessee Honey, 35%,2.9,21,['Sweet:100%'],['Sweet:100%'],"['Sweet:100%', 'Nuts:60%']"
667,Dimple,15Y,, 40%,2.7,21,"['Sweet:100%', 'Malt:50%']","['Malt:100%', 'Fruit:100%']","['Oak:100%', 'Sweet:100%']"
668,Bushmills,,1608 Triple Distilled, 40%,2.3,21,['Fruit:100%'],['Fruit:100%'],"['Spices:100%', 'Nuts:80%']"
669,Canadian Club,,, 40%,1.9,21,[],['Nuts:100%'],[]
670,Laphroaig,10Y,Cask Strength, 55.7%,4.4,20,['Maritime Notes:100%'],"['Peat Smoke:100%', 'Maritime Notes:40%']",['Peat Smoke:100%']
671,Bowmore,25Y,, 43%,4.3,20,"['Sherry:100%', 'Peat Smoke:100%']","['Nuts:100%', 'Oak:70%']",['Sweet:100%']
672,Glencadam,21Y,, 46%,4.2,20,[],['Nuts:100%'],[]
673,Jura,21Y,, 44%,4.1,20,"['Nuts:100%', 'Fruit:100%']","['Fruit:100%', 'Nuts:50%']","['Sweet:100%', 'Maritime Notes:80%']"
674,Johnnie Walker,,Blue label, 43%,4.0,20,[''],[''],['']
675,Hazelburn,10Y,, 46%,4.0,20,"['Fruit:100%', 'Sweet:90%']","['Sweet:100%', 'Spices:100%']","['Sweet:100%', 'Spices:80%']"
676,Bowmore,10Y,Tempest, 55.3%,3.9,20,"['Peat Smoke:100%', 'Maritime Notes:40%']","['Peat Smoke:100%', 'Sweet:70%']",['Sweet:100%']
677,Glenmorangie,,The Duthac, 43%,3.8,20,"['Fruit:100%', 'Sherry:90%']","['Fruit:100%', 'Sherry:100%']","['Oak:100%', 'Nuts:80%']"
678,Aberlour,15Y,Double Cask, 40%,3.7,20,"['Oak:100%', 'Sherry:100%']","['Oak:100%', 'Spices:100%']",['Sherry:100%']
679,Glenfarclas,,Springs, 46%,3.6,20,"['Fruit:100%', 'Oak:50%']","['Malt:100%', 'Herb:100%']","['Malt:100%', 'Herb:100%']"
680,Knockando,18Y,Slow Matured, 43%,3.6,20,[],"['Nuts:100%', 'Sherry:80%']",[]
681,Timorous Beastie,,, 46.8%,3.5,20,[''],[''],['']
682,Jura,16Y,, 40%,3.4,20,"['Sweet:100%', 'Sherry:60%']",[],[]
683,Dalwhinnie,,Winter's Gold, 43%,3.2,20,"['Honey:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Spices:90%']"
684,Glenfiddich,12Y,Caoran Reserve, 40%,2.9,20,"['Peat Smoke:100%', 'Sherry:60%']","['Fruit:100%', 'Malt:60%']","['Peat Smoke:100%', 'Nuts:70%']"
685,Arran,,Lochranza Reserve, 43%,2.8,20,['Fruit:100%'],"['Sweet:100%', 'Fruit:80%']","['Oak:100%', 'Sweet:90%']"
686,Armorik,,Double Maturation, 46%,2.8,20,"['Fruit:100%', 'Spices:80%']","['Oak:100%', 'Fruit:100%']","['Oak:100%', 'Sweet:100%']"
687,Pike Creek,10Y,Rum, 42%,2.8,20,['Spices:100%'],[],['Spices:100%']
688,Slyrs,3Y,, 43%,2.7,20,['Malt:100%'],"['Malt:100%', 'Fruit:100%']",[]
689,Kilbeggan,8Y,, 40%,2.6,20,"['Sweet:100%', 'Oak:60%']","['Sweet:100%', 'Vanilla:80%']","['Malt:100%', 'Wheat:100%']"
690,Jim Beam,5Y,Choice, 40%,2.4,20,[''],[''],['']
691,Paddy,,, 40%,2.4,20,['Sweet:100%'],"['Malt:100%', 'Sweet:100%']",['Malt:100%']
692,Glendronach,16Y,Platinum, 48%,4.8,19,"['Herb:100%', 'Sherry:100%']","['Sherry:100%', 'Fruit:80%']",[]
693,Ardmore,20Y,, 49.3%,4.6,19,"['Peat Smoke:100%', 'Sweet:80%']","['Oak:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:50%']"
694,Benriach,12Y,Importanticus Fumosus (Port), 46%,4.6,19,"['Peat Smoke:100%', 'Maritime Notes:60%']",['Peat Smoke:100%'],['Spices:100%']
695,Glenfarclas,,Oloroso Sherry Cask, 46%,4.5,19,"['Apple:100%', 'Fruit:100%']","['Nuts:100%', 'Spices:100%']",[]
696,Octomore,5Y,03.1, 59%,4.4,19,['Peat Smoke:100%'],"['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
697,Blanton's,,Straight from the Barrel, 63.5%,4.4,19,"['Sweet:100%', 'Herb:50%']","['Sweet:100%', 'Oak:70%']","['Oak:100%', 'Spices:70%']"
698,Booker‘s,7Y,Kentucky Bourbon, 62%,4.4,19,['Oak:100%'],"['Oak:100%', 'Herb:90%']",[]
699,Jack Daniel's,,No. 27 Gold, 40%,4.3,19,"['Sweet:100%', 'Vanilla:80%']","['Sweet:100%', 'Vanilla:80%']",['Oak:100%']
700,Laphroaig,15Y,200 Years of Laphroaig, 43%,4.3,19,"['Zitrus:100%', 'Grapefruit:80%']","['Maritime Notes:100%', 'Pepper:90%']",['Peat Smoke:100%']
701,Auchentoshan,21Y,, 43%,4.2,19,['Sherry:100%'],"['Sweet:100%', 'Oak:70%']",[]
702,Glenmorangie,,Astar, 57.1%,4.2,19,"['Alcohol:100%', 'Peat Smoke:100%']","['Alcohol:100%', 'Oak:100%']",[]
703,Dalmore,12Y,The Twelve, 40%,4.2,19,['Sherry:100%'],"['Sherry:100%', 'Herb:80%']",['Spices:100%']
704,Aberlour,16Y,Double Cask, 40%,4.1,19,['Sherry:100%'],['Fruit:100%'],['Nuts:100%']
705,,17Y,, 46%,4.1,19,"['Oak:100%', 'Fruit:100%']","['Oak:100%', 'Nuts:70%']","['Fruit:100%', 'Oak:100%']"
706,Arran,,Madeira Cask Finish, 50%,3.9,19,"['Sweet:100%', 'Fruit:100%']",['Fruit:100%'],"['Nuts:100%', 'Fruit:100%']"
707,Strathisla,12Y,, 43%,3.9,19,['Fruit:100%'],[],"['Peat Smoke:100%', 'Nuts:70%']"
708,Glendronach,8Y,Octarine, 46%,3.8,19,['Sweet:100%'],"['Malt:100%', 'Fruit:100%']",['Sherry:100%']
709,,,Nomad, 41.3%,3.8,19,"['Sherry:100%', 'Sweet:90%']","['Raisin:100%', 'Nuts:100%']","['Sherry:100%', 'Sweet:100%']"
710,Jura,16Y,Diurach's Own, 40%,3.8,19,"['Seaweed:100%', 'Honey:100%']","['Salt:100%', 'Maritime Notes:100%']",['Sweet:100%']
711,Rock Oyster,,, 46.8%,3.8,19,"['Maritime Notes:100%', 'Salt:100%']","['Pepper:100%', 'Spices:100%']","['Maritime Notes:100%', 'Spices:100%']"
712,Glen Scotia,12Y,, 46%,3.7,19,[],['Fruit:100%'],[]
713,Glen Scotia,18Y,, 46%,3.7,19,"['Zitrus:100%', 'Peat Smoke:100%']","['Ginger:100%', 'Vanilla:100%']","['Peat Smoke:100%', 'Maritime Notes:80%']"
714,Cragganmore,,Distillers Edition, 40%,3.6,19,[''],[''],['']
715,Bowmore,10Y,Dark & Intense, 40%,3.5,19,"['Peat Smoke:100%', 'Sherry:60%']","['Peat Smoke:100%', 'Spices:80%']","['Peat Smoke:100%', 'Herb:50%']"
716,Auchentoshan,,Blood Oak, 46%,3.4,19,"['Fruit:100%', 'Zitrus:40%']","['Ginger:100%', 'Orange:100%']",['Oak:100%']
717,Highland Park,,Drakkar, 40%,3.4,19,['Sherry:100%'],"['Fruit:100%', 'Nuts:80%']",[]
718,Finlaggan,,Port Finished, 46%,3.4,19,"['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:80%']"
719,Glenburgie,10Y,, 40%,3.4,19,"['Fruit:100%', 'Nuts:60%']","['Fruit:100%', 'Oak:60%']",[]
720,Glenfiddich,12Y,Special Reserve, 40%,3.3,19,['Fruit:100%'],"['Fruit:100%', 'Nuts:70%']",['Peat Smoke:100%']
721,Linkwood,12Y,, 43%,3.3,19,"['Sweet:100%', 'Fruit:100%']",['Zitrus:100%'],"['Oak:100%', 'Sweet:100%']"
722,Springbank,,C.V., 46%,3.3,19,"['Peat Smoke:100%', 'Sherry:80%']",['Spices:100%'],[]
723,Glenfiddich,,Cask Collection: Select Cask, 40%,3.2,19,"['Sweet:100%', 'Oak:80%']","['Fruit:100%', 'Spices:100%']",['Malt:100%']
724,Slyrs,,Bavarian Single Malt Whisky, 43%,3.2,19,[''],[''],['']
725,Bruichladdich,,The Classic Laddie, 50%,3.2,19,"['Sweet:100%', 'Herbs:80%']","['Oak:100%', 'Sweet:90%']","['Oak:100%', 'Malt:90%']"
726,Akashi,,, 40%,3.1,19,[''],[''],['']
727,Benromach,,Traditional, 40%,3.1,19,"['Sweet:100%', 'Malt:80%']","['Fruit:100%', 'Malt:70%']",[]
728,Bowmore,,No.1, 40%,2.8,19,"['Sweet:100%', 'Peat Smoke:100%']","['Oak:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:60%']"
729,The Singleton of Dufftown,12Y,with glasses, 40%,2.7,19,[''],[''],['']
730,Dewars,12Y,, 40%,2.6,19,"['Fruit:100%', 'Sherry:90%']","['Fruit:100%', 'Oak:80%']",[]
731,Balvenie,21Y,Port Wood, 47.6%,4.7,18,"['Nuts:100%', 'Honey:100%']","['Sweet:100%', 'Spices:100%']","['Sweet:100%', 'Spices:100%']"
732,Glengoyne,25Y,, 48%,4.6,18,"['Fruit:100%', 'Herb:70%']","['Oak:100%', 'Fruit:100%']",['Spices:100%']
733,Talisker,,, 45.8%,4.6,18,['Peat Smoke:100%'],[],"['Malt:100%', 'Spices:100%']"
734,Ardbeg,,Supernova Stellar Release, 58.9%,4.6,18,['Peat Smoke:100%'],"['Sweet:100%', 'Peat Smoke:100%']",['Peat Smoke:100%']
735,Glenfarclas,40Y,, 46%,4.6,18,"['Chocolate:100%', 'Sweet:100%']","['Herb:100%', 'Zitrus:90%']",[]
736,Highland Park,25Y,, 45.7%,4.5,18,['Sherry:100%'],"['Fruit:100%', 'Spices:100%']","['Herb:100%', 'Nuts:100%']"
737,Laphroaig,,Cairdeas Port Wood, 51.3%,4.5,18,[],"['Alcohol:100%', 'Sweet:100%']",[]
738,Laphroaig,,Cairdeas, 51.6%,4.4,18,"['Fruit:100%', 'Peat Smoke:100%']","['Herb:100%', 'Sweet:100%']","['Sweet:100%', 'Peat Smoke:100%']"
739,Benriach,17Y,PX Finish, 46%,4.3,18,"['Sherry:100%', 'Spices:80%']","['Sherry:100%', 'Oak:70%']","['Herb:100%', 'Sherry:100%']"
740,Glendronach,,Cask Strength Batch 3, 54.9%,4.3,18,"['Spices:100%', 'Sweet:70%']","['Oak:100%', 'Fruit:100%']","['Spices:100%', 'Sherry:50%']"
741,Dewars,,Signature, 40%,4.3,18,"['Sweet:100%', 'Fruit:80%']","['Honey:100%', 'Nuts:90%']",['Nuts:100%']
742,Elijah Craig,18Y,Single Barrel, 45%,4.3,18,"['Sweet:100%', 'Oak:80%']",['Sweet:100%'],[]
743,Highland Park,21Y,, 40%,4.3,18,"['Sweet:100%', 'Zitrus:60%']",['Sweet:100%'],"['Malt:100%', 'Sweet:100%']"
744,Caol Ila,,, 43%,4.2,18,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Malt:60%']","['Sweet:100%', 'Peat Smoke:100%']"
745,Bowmore,15Y,Darkest, 43%,4.1,18,"['Herb:100%', 'Dark Chocolate:90%']","['Sweet:100%', 'Oak:80%']",['Sherry:100%']
746,Inchmurrin,15Y,, 46%,4.1,18,"['Herbs:100%', 'Sweet:100%']","['Zitrus:100%', 'Sherry:90%']",['Sherry:100%']
747,Bruichladdich,10Y,The Laddie Ten - 2nd Edition, 50%,4.0,18,"['Herbs:100%', 'Sweet:100%']","['Malt:100%', 'Oak:70%']","['Malt:100%', 'Spices:100%']"
748,Glenfarclas,,Vintage, 58.5%,3.9,18,[],['Sherry:100%'],[]
749,Edradour,,Cream Liqueur, 17%,3.9,18,['Malt:100%'],['Malt:100%'],[]
750,,,Pentland Skerries, 46%,3.9,18,['Sherry:100%'],['Sherry:100%'],['Sherry:100%']
751,Scallywag,,Sweet Wee, 46%,3.8,18,"['Sweet:100%', 'Vanilla:90%']","['Fruit:100%', 'Spices:100%']","['Sweet:100%', 'Zitrus:80%']"
752,Ben Nevis,10Y,(Design ab 2016), 46%,3.7,18,"['Malt:100%', 'Herbs:90%']","['Spices:100%', 'Sweet:90%']","['Spices:100%', 'Sweet:90%']"
753,Maker's Mark,,46, 47%,3.7,18,"['Sweet:100%', 'Oak:80%']","['Sweet:100%', 'Spices:80%']",['Sweet:100%']
754,Glenmorangie,,The Tayne, 43%,3.6,18,"['Spices:100%', 'Sherry:100%']","['Oak:100%', 'Fruit:100%']","['Oak:100%', 'Sweet:100%']"
755,Highland Park,,Valkyrie, 45.9%,3.6,18,"['Spices:100%', 'Sweet:100%']","['Dark Chocolate:100%', 'Herb:100%']","['Spices:100%', 'Herb:70%']"
756,Glencadam,15Y,, 46%,3.5,18,['Sweet:100%'],['Sweet:100%'],[]
757,Glendronach,14Y,Virgin Oak, 46%,3.5,18,['Sherry:100%'],['Oak:100%'],['Oak:100%']
758,Highland Park,15Y,, 40%,3.3,18,[],['Peat Smoke:100%'],[]
759,Woodford Reserve,,, 43.2%,3.3,18,[''],[''],['']
760,The Six Isles,,, 43%,3.2,18,"['Heather:100%', 'Herbs:100%']","['Iodine:100%', 'Maritime Notes:100%']",[]
761,,,Whisky Dinner Leeds (Telser Marcel), 49.2%,3.2,18,[''],[''],['']
762,Irish Mist,,Liqueur, 35%,3.1,18,['Sweet:100%'],['Sweet:100%'],[]
763,Knockando,15Y,, 43%,3.1,18,[''],[''],['']
764,Aberlour,10Y,, 43%,3.0,18,"['Honey:100%', 'Sweet:100%']",[],[]
765,Glenglassaugh,3Y,Revival, 46%,3.0,18,"['Sweet:100%', 'Sherry:80%']","['Sweet:100%', 'Fruit:80%']","['Nuts:100%', 'Oak:100%']"
766,Inchmurrin,12Y,, 46%,2.6,18,"['Fruit:100%', 'Sweet:90%']","['Spices:100%', 'Oak:60%']",[]
767,Tamdhu,,, 40%,2.6,18,[''],[''],['']
768,Talisker,,, 45.8%,4.9,17,['Sherry:100%'],"['Chili:100%', 'Sherry:100%']",[]
769,Edradour,,Decanter Sherry cask, 56.1%,4.8,17,"['Fruit:100%', 'Spices:70%']",['Fruit:100%'],['Sherry:100%']
770,Glenfarclas,30Y,, 43%,4.7,17,['Sherry:100%'],"['Sherry:100%', 'Nuts:80%']",[]
771,Benriach,21Y,Authenticus, 46%,4.5,17,"['Honey:100%', 'Sweet:100%']","['Honey:100%', 'Oak:100%']","['Spices:100%', 'Peat Smoke:100%']"
772,Talisker,18Y,, 45.8%,4.5,17,['Maritime Notes:100%'],"['Sweet:100%', 'Peat Smoke:100%']",['Spices:100%']
773,Aberlour,,a'bunadh Batch 31, 60.5%,4.2,17,"['Leather:100%', 'Herb:100%']",[],[]
774,Glenmorangie,10Y,Cellar 13, 43%,4.2,17,['Sweet:100%'],"['Sweet:100%', 'Maritime Notes:50%']",[]
775,Kilchoman,8Y,Loch Gorm, 46%,4.2,17,"['Seaweed:100%', 'Berries:100%']","['Peat Smoke:100%', 'Sherry:70%']","['Fruit:100%', 'Spices:100%']"
776,Tomatin,18Y,, 46%,4.1,17,"['Sherry:100%', 'Sweet:80%']","['Sweet:100%', 'Sherry:90%']",['Sherry:100%']
777,Ardbeg,10Y,TEN - Black Ultimate, 46%,4.0,17,['Peat Smoke:100%'],[],['Peat Smoke:100%']
778,Ballechin,,Sauternes cask matured, 46%,4.0,17,[],['Fruit:100%'],[]
779,Bruichladdich,12Y,Second Edition, 46%,4.0,17,"['Fruit:100%', 'Zitrus:40%']","['Sweet:100%', 'Peat Smoke:100%']",[]
780,Talisker,,, 45.8%,3.9,17,['Spices:100%'],"['Sweet:100%', 'Malt:70%']","['Sweet:100%', 'Spices:100%']"
781,Auchentoshan,14Y,Cooper's Reserve, 46%,3.9,17,['Sherry:100%'],"['Nuts:100%', 'Fruit:100%']",[]
782,Glenallachie,10Y,Whisky.de - Clubflasche 2019, 48%,3.9,17,['Fruit:100%'],"['Sweet:100%', 'Fruit:70%']",['Spices:100%']
783,Tullibardine,,The Murray, 46%,3.9,17,['Fruit:100%'],"['Fruit:100%', 'Sweet:80%']",['Fruit:100%']
784,Aberfeldy,12Y,, 40%,3.7,17,['Spices:100%'],"['Oil:100%', 'Nuts:100%']",[]
785,Glenmorangie,,Dornoch, 43%,3.7,17,['Peat Smoke:100%'],"['Fruit:100%', 'Nuts:90%']","['Sweet:100%', 'Herbs:80%']"
786,Mortlach,21Y,, 43%,3.7,17,['Oak:100%'],"['Oak:100%', 'Fruit:70%']",['Sherry:100%']
787,Crown Royal,,Northern Harvest Rye, 45%,3.6,17,"['Spices:100%', 'Malt:90%']","['Oak:100%', 'Sweet:100%']",['Nuts:100%']
788,Glenmorangie,,Pioneering Collection, 44.5%,3.6,17,[''],[''],['']
789,Connemara,12Y,, 40%,3.5,17,"['Peat Smoke:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Malt:50%']",['Sweet:100%']
790,Nikka,,Coffey Grain, 45%,3.5,17,[],"['Fruit:100%', 'Sweet:100%']",[]
791,Nikka,,Taketsuru Pure Malt, 43%,3.3,17,['Sweet:100%'],"['Fruit:100%', 'Malt:80%']",['Sweet:100%']
792,Peat's Beast,,, 46%,3.3,17,['Peat Smoke:100%'],['Peat Smoke:100%'],['Peat Smoke:100%']
793,Ledaig,10Y,, 43%,3.2,17,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Spices:80%']",['Peat Smoke:100%']
794,Glenglassaugh,,Revival, 46%,3.2,17,[],['Fruit:100%'],"['Sweet:100%', 'Malt:80%']"
795,Johnnie Walker,,Blenders' Batch Red Rye Finish, 40%,3.1,17,[],"['Nuts:100%', 'Sweet:100%']","['Malt:100%', 'Spices:100%']"
796,Glenfarclas,8Y,, 40%,3.1,17,"['Herbs:100%', 'Sherry:100%']",['Sherry:100%'],[]
797,Oban,,Little Bay, 43%,3.1,17,"['Fruit:100%', 'Herbs:70%']","['Zitrus:100%', 'Fruit:100%']","['Herbs:100%', 'Herb:100%']"
798,Ben Bracken,,Islay, 40%,3.0,17,['Peat Smoke:100%'],['Peat Smoke:100%'],"['Peat Smoke:100%', 'Sweet:50%']"
799,Famous Grouse,,The Black Grouse, 40%,2.9,17,[''],[''],['']
800,Bruichladdich,10Y,, 46%,2.9,17,['Fruit:100%'],[],['Spices:100%']
801,Glen Grant,,The Major's Reserve, 40%,2.9,17,"['Zitrus:100%', 'Malt:100%']","['Malt:100%', 'Nuts:100%']","['Oak:100%', 'Peat Smoke:100%']"
802,The Singleton of Dufftown,,Spey Cascade, 40%,2.8,17,[],['Fruit:100%'],[]
803,Tullamore D.E.W.,,ceramic decanter, 40%,2.8,17,[''],[''],['']
804,Bushmills,10Y,, 40%,2.7,17,[],['Sherry:100%'],[]
805,Glenfiddich,12Y,, 40%,2.6,17,"['Pear:100%', 'Fruit:100%']","['Malt:100%', 'Fruit:70%']",['Malt:100%']
806,Southern Comfort,,Whiskey Liqueur, 35%,2.6,17,['Spices:100%'],"['Zitrus:100%', 'Spices:100%']","['Spices:100%', 'Fruit:70%']"
807,J&B,,Rare, 40%,2.6,17,"['Peat Smoke:100%', 'Sweet:80%']",['Nuts:100%'],[]
808,Paddy,,, 40%,2.6,17,['Sweet:100%'],"['Sweet:100%', 'Malt:80%']",[]
809,Loch Lomond,,Original, 40%,2.5,17,"['Herb:100%', 'Sweet:100%']","['Malt:100%', 'Nuts:70%']","['Sweet:100%', 'Zitrus:80%']"
810,Slyrs,,Vanilla & Honey, 30%,2.4,17,[],['Sweet:100%'],[]
811,Slyrs,3Y,, 43%,2.4,17,['Herbs:100%'],"['Herbs:100%', 'Nuts:100%']",[]
812,Black Velvet,,, 40%,1.8,17,[''],[''],['']
813,Chivas Regal,21Y,Royal Salute, 40%,4.9,16,"['Fruit:100%', 'Peat Smoke:90%']",['Nuts:100%'],[]
814,Bowmore,21Y,Port Wood, 51.5%,4.8,16,['Peat Smoke:100%'],"['Fruit:100%', 'Peat Smoke:100%']",[]
815,Longmorn,17Y,, 43%,4.8,16,"['Sherry:100%', 'Sweet:70%']","['Fruit:100%', 'Sherry:100%']","['Sherry:100%', 'Sweet:100%']"
816,Glenmorangie,14Y,Quinta Ruban Port, 46%,4.6,16,"['Fruit:100%', 'Sweet:100%']","['Nuts:100%', 'Chocolate:90%']","['Sweet:100%', 'Oak:80%']"
817,Laphroaig,,PX Cask, 48%,4.6,16,"['Maritime Notes:100%', 'Sherry:100%']",[],[]
