,brand,age,name,abv,rating,No. rating,nose,taste,finish
1154,Macallan,,, 43%,3.7,11,"['Fruit:100%', 'Sherry:100%']","['Pepper:100%', 'Zitrus:100%']","['Nuts:100%', 'Sweet:100%']"
1155,Black Bull,12Y,, 50%,3.6,11,[],['Sweet:100%'],[]
1156,Glenmorangie,,Spios, 46%,3.6,11,"['Nuts:100%', 'Spices:100%']","['Malt:100%', 'Nuts:100%']","['Malt:100%', 'Spices:100%']"
1157,Kilchoman,,Bramble Liqueur, 19%,3.6,11,['Peat Smoke:100%'],"['Fruit:100%', 'Blackberry:80%']",['Fruit:100%']
1158,Bruichladdich,,The Classic Laddie, 50%,3.5,11,[],['Spices:100%'],[]
1159,Elmer T. Lee,,Single Barrel, 45%,3.5,11,[],"['Sweet:100%', 'Sherry:50%']",[]
1160,Mackmyra,,Motörhead, 40%,3.5,11,"['Nuts:100%', 'Spices:90%']","['Anise:100%', 'Dried Fruit:100%']",[]
1161,Penderyn,,Port Wood, 41%,3.5,11,[''],[''],['']
1162,Adnams,,Southwold Triple Malt Whisky, 47%,3.5,11,[],[],['Oak:100%']
1163,Arran,,Machrie Moor Third Edition, 46%,3.5,11,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Zitrus:40%']",[]
1164,Mannochmore,12Y,, 43%,3.5,11,['Spices:100%'],"['Sweet:100%', 'Vanilla:80%']",['Spices:100%']
1165,Poit Dhubh,12Y,, 43%,3.5,11,"['Spices:100%', 'Sweet:100%']","['Zitrus:100%', 'Sweet:100%']",['Peat Smoke:100%']
1166,Port Charlotte,,"Scottish Barley, heavily peated", 50%,3.5,11,"['Heather:100%', 'Herbs:100%']","['Heather:100%', 'Herbs:100%']","['Caramel:100%', 'Sweet:100%']"
1167,Strathisla,,, 43%,3.5,11,['Sherry:100%'],[],[]
1168,Tullamore D.E.W.,12Y,Sherry Cask Finish, 46%,3.5,11,"['Malt:100%', 'Sherry:100%']",['Malt:100%'],[]
1169,Wild Turkey,,Rye, 40.5%,3.5,11,['Spices:100%'],[],"['Sweet:100%', 'Spices:100%']"
1170,Glen Grant,12Y,, 43%,3.4,11,"['Green Apple:100%', 'Pear:100%']","['Fruit:100%', 'Sweet:100%']","['Spices:100%', 'Sweet:80%']"
1171,Glendronach,,Peated Port Wood, 46%,3.4,11,"['Peat Smoke:100%', 'Herb:50%']","['Sweet:100%', 'Peat Smoke:100%']","['Oak:100%', 'Sweet:100%']"
1172,Glenfarclas,,Team, 46%,3.4,11,"['Sweet:100%', 'Fruit:100%']","['Chili:100%', 'Sherry:100%']",[]
1173,J.P. Wiser's,10Y,, 40%,3.4,11,"['Apple:100%', 'Fruit:100%']","['Pepper:100%', 'Vanilla:90%']",['Malt:100%']
1174,Jura,10Y,Origin, 40%,3.4,11,"['Almonds:100%', 'Nuts:100%']","['Fruit:100%', 'Nuts:70%']","['Maritime Notes:100%', 'Malt:70%']"
1175,Knockando,21Y,Master Reserve with 2 Glasses, 43%,3.4,11,"['Nuts:100%', 'Herb:100%']","['Malt:100%', 'Nuts:100%']",['Spices:100%']
1176,Arran,12Y,Cask Strength Batch No. 5, 52.9%,3.3,11,"['Zitrus:100%', 'Sweet:100%']","['Oak:100%', 'Spices:100%']",['Malt:100%']
1177,Edradour,7Y,Port Matured 7th Release, 46%,3.3,11,"['Zitrus:100%', 'Oak:100%']","['Fruit:100%', 'Sweet:70%']","['Oak:100%', 'Sherry:60%']"
1178,Tullibardine,,Sovereign, 43%,3.3,11,[],"['Fruit:100%', 'Malt:80%']",[]
1179,Wild Turkey,,101, 50.5%,3.3,11,['Sweet:100%'],"['Sweet:100%', 'Vanilla:80%']",[]
1180,Bushmills,10Y,, 40%,3.2,11,[],"['Peat Smoke:100%', 'Malt:50%']","['Malt:100%', 'Fruit:100%']"
1181,Glencadam,,Origin 1825, 40%,3.2,11,"['Fruit:100%', 'Sweet:90%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Herbs:70%']"
1182,Langatun,3Y,Old Deer, 40%,3.2,11,[''],[''],['']
1183,Slyrs,,Oloroso, 46%,3.2,11,[],['Sherry:100%'],[]
1184,Glenmorangie,10Y,The Original old bottling, 40%,3.1,11,['Fruit:100%'],"['Nuts:100%', 'Malt:50%']","['Malt:100%', 'Sweet:100%']"
1185,Hammerhead,23Y,, 40.7%,3.1,11,[],"['Malt:100%', 'Oak:100%']",[]
1186,Auchentoshan,10Y,with Glas, 40%,3.0,11,['Sherry:100%'],['Sherry:100%'],[]
1187,Tullibardine,,, 40%,2.9,11,[],"['Hay:100%', 'Herbs:100%']",[]
1188,Bushmills,,Black Bush, 40%,2.8,11,['Sherry:100%'],['Sweet:100%'],"['Malt:100%', 'Sweet:100%']"
1189,Famous Grouse,,Smoky Black, 40%,2.7,11,['Peat Smoke:100%'],['Peat Smoke:100%'],['Peat Smoke:100%']
1190,Black Bottle,,(Relaunch), 40%,2.6,11,"['Oak:100%', 'Spices:80%']","['Oak:100%', 'Sweet:100%']","['Spices:100%', 'Pepper:90%']"
1191,Glen Broch,10Y,, 40%,2.6,11,['Nuts:100%'],"['Chili:100%', 'Orange:100%']",['Malt:100%']
1192,Teaninich,10Y,, 43%,2.6,11,['Herbs:100%'],"['Malt:100%', 'Nuts:100%']",[]
1193,Tullamore D.E.W.,12Y,Special Reserve, 40%,2.6,11,[''],[''],['']
1194,Clontarf,,Single Malt Irish Whiskey, 40%,2.3,11,['Malt:100%'],"['Fruit:100%', 'Nuts:50%']",[]
1195,John B. Stetson,,, 42%,2.2,11,"['Oak:100%', 'Sweet:80%']","['Oak:100%', 'Sweet:100%']",['Oak:100%']
1196,,,Speymhor, 40%,2.1,11,"['Sweet:100%', 'Sherry:100%']",['Sweet:100%'],['Sweet:100%']
1197,Blackstone,12Y,, 40%,2.1,11,"['Malt:100%', 'Oak:80%']",[],[]
1198,Sikkim,,Old Gold, 40%,2.1,11,[''],[''],['']
1199,Ardbeg,,, 43%,5.0,10,"['Maritime Notes:100%', 'Peat Smoke:100%']",['Maritime Notes:100%'],[]
1200,Glenglassaugh,30Y,, 42%,5.0,10,"['Fruit:100%', 'Sherry:100%']","['Sweet:100%', 'Sherry:70%']","['Oak:100%', 'Nuts:70%']"
1201,Macallan,18Y,Sherry cask, 43%,5.0,10,[''],[''],['']
1202,Lagavulin,,, 43%,4.9,10,[],['Sherry:100%'],[]
1203,Talisker,25Y,, 54.8%,4.9,10,"['Maritime Notes:100%', 'Salt:90%']","['Pepper:100%', 'Maritime Notes:90%']",['Peat Smoke:100%']
1204,Aberlour,,a'bunadh Batch 53, 59.7%,4.8,10,"['Zitrus:100%', 'Sherry:100%']","['Zitrus:100%', 'Sherry:100%']","['Maritime Notes:100%', 'Sherry:100%']"
1205,Ardbeg,,Supernova 2015, 54.3%,4.7,10,"['Maritime Notes:100%', 'Salt:80%']","['Spices:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Herb:50%']"
1206,Macallan,18Y,Sherry cask, 43%,4.7,10,['Sherry:100%'],"['Fruit:100%', 'Sweet:100%']",['Sweet:100%']
1207,Tomatin,,Decades, 46%,4.7,10,"['Coffee:100%', 'Dried Fruit:100%']","['Tobacco:100%', 'Cinnamon:100%']","['Bonfire Smoke:100%', 'Chili:100%']"
1208,Benriach,18Y,Moscatel Wood Finish, 46%,4.6,10,"['Nuts:100%', 'Spices:100%']",['Sweet:100%'],"['Peat Smoke:100%', 'Sherry:50%']"
1209,Hazelburn,14Y,Oloroso Sherry cask, 49.3%,4.6,10,"['Fruit:100%', 'Sherry:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Sherry:60%']"
1210,Longrow,14Y,Burgundy Wood, 56.1%,4.6,10,['Peat Smoke:100%'],"['Clove:100%', 'Spices:100%']",['Peat Smoke:100%']
1211,Macallan,,Whisky Maker's Edition, 42.8%,4.6,10,"['Sweet:100%', 'Sherry:60%']","['Caramel:100%', 'Fruit:100%']",['Sherry:100%']
1212,Macallan,10Y,Cask Strength, 58.1%,4.6,10,['Sherry:100%'],['Sherry:100%'],['Sherry:100%']
1213,Talisker,,, 45.8%,4.6,10,"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Fruit:50%']","['Sherry:100%', 'Sweet:100%']"
1214,Talisker,,, 45.8%,4.6,10,['Sherry:100%'],['Sherry:100%'],['Peat Smoke:100%']
1215,Glenmorangie,,Traditional 100 Proof, 57.2%,4.5,10,[],"['Cinnamon:100%', 'Sweet:100%']",[]
1216,Aberlour,,A'Bunadh Batch 56, 61.2%,4.4,10,"['Raisin:100%', 'Sweet:100%']","['Oak:100%', 'Fruit:100%']","['Sherry:100%', 'Fruit:100%']"
1217,Arran,18Y,, 46%,4.4,10,"['Almonds:100%', 'Nuts:100%']","['Ginger:100%', 'Sweet:100%']","['Nuts:100%', 'Hazelnut:90%']"
1218,Glenfarclas,,Christmas Malt, 46%,4.4,10,"['Nuts:100%', 'Fruit:100%']","['Nuts:100%', 'Fruit:100%']",[]
1219,Glenlivet,16Y,Nàdurra, 55.2%,4.4,10,"['Floral:100%', 'Herbs:100%']","['Nuts:100%', 'Herbs:90%']","['Oak:100%', 'Nuts:90%']"
1220,Highland Park,,, 40%,4.4,10,[''],[''],['']
1221,Laphroaig,10Y,Cask Strength Batch 005, 57.2%,4.4,10,[''],[''],['']
1222,Caol Ila,,, 46%,4.3,10,"['Sweet:100%', 'Fruit:100%']",['Peat Smoke:100%'],"['Peat Smoke:100%', 'Nuts:70%']"
1223,Cragganmore,14Y,Friends of Classic Malts Bottling, 40%,4.3,10,[],"['Fruit:100%', 'Sherry:60%']",[]
1224,Edradour,,Super Tuscan - Batch No. 2, 46%,4.3,10,['Sweet:100%'],"['Oak:100%', 'Fruit:100%']",['Herb:100%']
